ID,Name,Type1,Type2,HP,Atk,Def,Sp Atk,Sp Def,Spe,Color,Height,Weight,Pokedex
31,Nidoqueen,POISON,GROUND,90,92,87,76,75,85,Blue,1.3,60.0,"The body is covered by stiff, needlelike scales. If it becomes excited, the needles bristle outwards."
32,Nidoran,POISON,None,46,57,40,50,40,40,Purple,0.5,9.0,Its large ears are flapped like wings when it is listening to distant sounds. It extends toxic barbs when angered.
33,Nidorino,POISON,None,61,72,57,65,55,55,Purple,0.9,19.5,An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.
34,Nidoking,POISON,GROUND,81,102,77,85,85,75,Purple,1.4,62.0,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
35,Clefairy,FAIRY,None,70,45,48,35,60,65,Pink,0.6,7.5,The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.
36,Clefable,FAIRY,None,95,70,73,60,95,90,Pink,1.3,40.0,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people."
37,Vulpix,FIRE,None,38,41,40,65,50,65,Brown,0.6,9.9,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted."
38,Ninetales,FIRE,None,73,76,75,100,81,100,Yellow,1.1,19.9,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse."
39,Jigglypuff,NORMAL,FAIRY,115,45,20,20,45,25,Pink,0.5,5.5,"If it inflates to sing a lullaby, it can perform longer and cause sure drowsiness in its audience."
40,Wigglytuff,NORMAL,FAIRY,140,70,45,45,85,50,Pink,1.0,12.0,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,Zubat,POISON,FLYING,40,45,35,55,30,40,Purple,0.8,7.5,"It has no eyes. Instead, it relies on its ultrasonic cries for echolocation to flit about in darkness."
42,Golbat,POISON,FLYING,75,80,70,90,65,75,Purple,1.6,55.0,"Once it starts sucking blood, it does not stop until it is full. It flies at night in search of prey."
43,Oddish,GRASS,POISON,45,50,55,30,75,65,Blue,0.5,5.4,"Its scientific name is ""Oddium Wanderus."" At night, it is said to walk nearly 1,000 feet on its two roots."
44,Gloom,GRASS,POISON,60,65,70,40,85,75,Blue,0.8,8.6,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
45,Vileplume,GRASS,POISON,75,80,85,50,110,90,Red,1.2,18.6,"It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
46,Paras,BUG,GRASS,35,70,55,25,45,55,Red,0.3,5.4,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
47,Parasect,BUG,GRASS,60,95,80,30,60,80,Red,1.0,29.5,"The larger the mushroom on its back grows, the stronger the mushroom spores it scatters."
48,Venonat,BUG,POISON,60,55,50,45,40,55,Purple,1.0,30.0,Lives in the shadows of tall trees where it eats bugs. It is attracted by light at night.
49,Venomoth,BUG,POISON,70,65,60,90,90,75,Purple,1.5,12.5,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust."
50,Diglett,GROUND,None,10,55,25,95,35,45,Brown,0.2,0.8,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak."
51,Dugtrio,GROUND,None,35,100,50,120,50,70,Brown,0.7,33.3,"Extremely powerful, they can dig through even the hardest ground to a depth of over 60 miles."
52,Meowth,NORMAL,None,40,45,35,90,40,40,Yellow,0.4,4.2,Adores round objects. It wanders the streets on a nightly basis to look for dropped loose change.
53,Persian,NORMAL,None,65,70,60,115,65,65,Yellow,1.0,32.0,Its lithe muscles allow it to walk without making a sound. It attacks in an instant.
54,Psyduck,WATER,None,50,52,48,55,65,50,Yellow,0.8,19.6,It has mystical powers but doesn't recall that it has used them. That is why it always looks puzzled.
55,Golduck,WATER,None,80,82,78,85,95,80,Blue,1.7,76.6,"The forelegs are webbed, helping to make it an adept swimmer. It can be seen swimming elegantly in lakes, etc."
56,Mankey,FIGHTING,None,40,80,35,70,35,45,Brown,0.5,28.0,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
57,Primeape,FIGHTING,None,65,105,60,95,60,70,Brown,1.0,32.0,"It is always outrageously furious. If it gives chase, it will tenaciously track the target no matter how far."
58,Growlithe,FIRE,None,55,70,45,60,70,50,Brown,0.7,19.0,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.
59,Arcanine,FIRE,None,90,110,80,95,100,80,Brown,1.9,155.0,Its magnificent bark conveys a sense of majesty. Anyone hearing it can't help but grovel before it.
60,Poliwag,WATER,None,40,50,40,90,40,40,Blue,0.6,12.4,The direction of the spiral on the belly differs by area. It is more adept at swimming than walking.
61,Poliwhirl,WATER,None,65,65,65,90,50,50,Blue,1.0,20.0,"Its two legs are well developed. Even though it can live on the ground, it prefers living in water."
62,Poliwrath,WATER,FIGHTING,90,95,95,70,70,90,Blue,1.3,54.0,A swimmer adept at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
63,Abra,PSYCHIC,None,25,20,15,90,105,55,Brown,0.9,19.5,It senses impending attacks and teleports away to safety before the actual attacks can strike.
64,Kadabra,PSYCHIC,None,40,35,30,105,120,70,Brown,1.3,56.5,"If it uses its abilities, it emits special alpha waves that cause machines to malfunction."
65,Alakazam,PSYCHIC,None,55,50,45,120,135,95,Brown,1.5,48.0,"Its brain can outperform a supercomputer. Its IQ (intelligence quotient) is said to be around 5,000."
66,Machop,FIGHTING,None,70,80,50,35,35,35,Gray,0.8,19.5,"Its whole body is composed of muscles. Even though it's the size of a human child, it can hurl 100 grown-ups."
67,Machoke,FIGHTING,None,80,100,70,45,50,60,Gray,1.5,70.5,"It can lift a dump truck with one hand. Using that power, it helps people with heavy jobs."
68,Machamp,FIGHTING,None,90,130,80,55,65,85,Gray,1.6,130.0,"It uses its four powerful arms to pin the limbs of its foe, then throws the victim over the horizon."
69,Bellsprout,GRASS,POISON,50,75,35,40,70,30,Green,0.7,4.0,"Its bud looks like a human face. Because of the bud, it is rumored to be a type of legendary mandrake plant."
70,Weepinbell,GRASS,POISON,65,90,50,55,85,45,Green,1.0,6.4,It spits out Poison Powder to immobilize the enemy and then finishes it with a spray of Acid.
71,Victreebel,GRASS,POISON,80,105,65,70,100,70,Green,1.7,15.5,"Once ingested into this Pokémon's body, even the hardest object will melt into nothing."
72,Tentacool,WATER,POISON,40,40,35,70,50,100,Blue,0.9,45.5,Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers.
73,Tentacruel,WATER,POISON,80,70,65,100,80,120,Blue,1.6,55.0,"It has 80 tentacles that move about freely. They can sting, causing poisoning and sharp, stabbing pain."
74,Geodude,ROCK,GROUND,40,80,100,20,30,30,Brown,0.4,20.0,It is impossible to distinguish from rocks. It slams against others in contests of hardness.
75,Graveler,ROCK,GROUND,55,95,115,35,45,45,Brown,1.0,105.0,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,Golem,ROCK,GROUND,80,120,130,45,55,65,Brown,1.4,300.0,"Even dynamite can't harm its hard, boulder-like body. It sheds its hide just once a year."
77,Ponyta,FIRE,None,50,85,55,90,65,65,Yellow,1.0,30.0,Its legs grow strong while it chases after its parent. It runs in fields and mountains all day.
78,Rapidash,FIRE,None,65,100,70,105,80,80,Yellow,1.7,95.0,"It gallops at nearly 150 mph. With its mane blazing ferociously, it races as if it were an arrow."
79,Slowpoke,WATER,PSYCHIC,90,65,65,15,40,40,Pink,1.2,36.0,"It lazes vacantly near water. If something bites its tail, it won't even notice for a whole day."
80,Slowbro,WATER,PSYCHIC,95,75,110,30,100,80,Pink,1.6,78.5,"When a Slowpoke went hunting in the sea, its tail was bitten by a Shellder. That made it evolve into Slowbro."
81,Magnemite,ELECTRIC,STEEL,25,35,70,45,95,55,Gray,0.3,6.0,It moves while constantly hovering. It discharges Thunder Wave and so on from the units at its sides.
82,Magneton,ELECTRIC,STEEL,50,60,95,70,120,70,Gray,1.0,60.0,"Generates strange radio signals. It raises the temperature by 3.6 degrees Fahrenheit within 3,300 feet."
83,Farfetch'd,NORMAL,FLYING,52,90,55,60,58,62,Brown,0.8,15.0,It always walks about with a plant stalk clamped in its beak. The stalk is used for building its nest.
84,Doduo,NORMAL,FLYING,35,85,45,75,35,35,Brown,1.4,39.2,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
85,Dodrio,NORMAL,FLYING,60,110,70,110,60,60,Brown,1.8,85.2,"An odd species that is rarely found. The three heads respectively represent joy, sadness, and anger."
86,Seel,WATER,None,65,45,55,45,45,70,White,1.1,90.0,"Covered with light blue fur, its hide is thick and tough. It is active in bitter cold of -40 degrees Fahrenheit."
87,Dewgong,WATER,ICE,90,70,80,70,70,95,White,1.7,120.0,"Its streamlined body has little drag in water. The colder the temperature, the friskier it gets."
88,Grimer,POISON,None,80,80,50,25,40,50,Purple,0.9,30.0,Appears in filthy areas. It thrives by sucking up polluted sludge that is pumped out of factories.
89,Muk,POISON,None,105,105,75,50,65,100,Purple,1.2,30.0,A toxic fluid seeps from its body. The fluid instantly kills plants and trees on contact.
90,Shellder,WATER,None,30,65,100,40,45,25,Purple,0.3,4.0,"Clamping on to an opponent reveals its vulnerable parts, so it uses this move only as a last resort."
91,Cloyster,WATER,ICE,50,95,180,70,85,45,Purple,1.5,132.5,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking."
92,Gastly,GHOST,POISON,30,35,30,80,100,35,Purple,1.3,0.1,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison."
93,Haunter,GHOST,POISON,45,50,45,95,115,55,Purple,1.6,0.1,It licks with its gaseous tongue to steal the victim's life force. It lurks in darkness for prey.
94,Gengar,GHOST,POISON,60,65,60,110,130,75,Purple,1.5,40.5,"Hiding in people's shadows at night, it absorbs their heat. The chill it causes makes the victims shake."
95,Onix,ROCK,GROUND,35,45,160,70,30,45,Gray,8.8,210.0,It usually lives underground. It searches for food while boring its way through the ground at 50 miles per hour.
96,Drowzee,PSYCHIC,None,60,48,45,42,43,90,Yellow,1.0,32.4,"If you think that you had a good dream but you can't remember it, a Drowzee has probably eaten it."
97,Hypno,PSYCHIC,None,85,73,70,67,73,115,Yellow,1.6,75.6,"Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up."
98,Krabby,WATER,None,30,105,90,50,25,25,Red,0.4,6.5,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.
99,Kingler,WATER,None,55,130,115,75,50,50,Red,1.3,60.0,"Its pincers grow peculiarly large. If it lifts the pincers too fast, it loses its balance and staggers."
100,Voltorb,ELECTRIC,None,40,30,50,100,55,55,Red,0.5,10.4,"Usually found in power plants. Easily mistaken for a Poké Ball, it has zapped many people."
101,Electrode,ELECTRIC,None,60,50,70,150,80,80,Red,1.2,66.6,It stores an overflowing amount of electric energy inside its body. Even a small shock makes it explode.
102,Exeggcute,GRASS,PSYCHIC,60,40,80,40,60,45,Pink,0.4,2.5,"Even though it appears to be eggs of some sort, it was discovered to be a life-form more like plant seeds."
103,Exeggutor,GRASS,PSYCHIC,95,95,85,55,125,75,Yellow,2.0,120.0,"It is called ""The Walking Jungle."" If a head grows too big, it falls off and becomes an Exeggcute."
104,Cubone,GROUND,None,50,50,95,35,40,50,Brown,0.4,6.5,"It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like."
105,Marowak,GROUND,None,60,80,110,45,50,80,Brown,1.0,45.0,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,Hitmonlee,FIGHTING,None,50,120,53,87,35,110,Brown,1.5,49.8,"If it starts kicking repeatedly, both legs will stretch even longer to strike a fleeing foe."
107,Hitmonchan,FIGHTING,None,50,105,79,76,35,110,Brown,1.4,50.2,The spirit of a pro boxer has infused this Pokémon. It throws punches that are faster than a bullet train.
108,Lickitung,NORMAL,None,90,55,75,30,60,75,Pink,1.2,65.5,Its tongue is twice the length of its body. It can be moved like an arm for grabbing food and attacking.
109,Koffing,POISON,None,40,65,95,35,60,45,Purple,0.6,1.0,"Lighter-than-air gases in its body keep it aloft. The gases not only smell, they are also explosive."
110,Weezing,POISON,None,65,90,120,60,85,70,Purple,1.2,9.5,"Very rarely, a sudden mutation can result in two small Koffing twins becoming conjoined as a Weezing."
111,Rhyhorn,GROUND,ROCK,80,85,95,25,30,30,Gray,1.0,115.0,It is inept at turning because of its four short legs. It can only charge and run in one direction.
112,Rhydon,GROUND,ROCK,105,130,120,40,45,45,Gray,1.9,120.0,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.
113,Chansey,NORMAL,None,250,5,5,50,35,105,Pink,1.1,34.6,It lays several eggs a day. The eggs are apparently rich in nutrients and extremely delicious.
114,Tangela,GRASS,None,65,55,115,60,100,40,Blue,1.0,35.0,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.
115,Kangaskhan,NORMAL,None,105,95,80,90,40,80,Brown,2.2,80.0,"If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster."
116,Horsea,WATER,None,30,40,70,60,70,25,Blue,0.4,8.0,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
117,Seadra,WATER,None,55,65,95,85,95,45,Blue,1.2,25.0,It is capable of swimming backwards by rapidly flapping its winglike pectoral fins and stout tail.
118,Goldeen,WATER,None,45,67,60,63,35,50,Red,0.6,15.0,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the water dancer."
119,Seaking,WATER,None,80,92,65,68,65,80,Red,1.3,39.0,It makes its nest by hollowing out boulders in streams with its horn. It defends its eggs with its life.
120,Staryu,WATER,None,30,45,55,85,70,55,Brown,0.8,34.5,"It appears in large numbers by seashores. At night, its central core flashes with a red light."
121,Starmie,WATER,PSYCHIC,60,75,85,115,100,85,Purple,1.1,80.0,"At the center of its body is a red core, which sends mysterious radio signals into the night sky."
122,Mr. Mime,PSYCHIC,FAIRY,40,45,65,90,100,120,Pink,1.3,54.5,It is adept at conning people. It is said to be able to create walls out of thin air by miming.
123,Scyther,BUG,FLYING,70,110,80,105,55,80,Green,1.5,56.0,"It slashes through grass with its sharp scythes, moving too fast for the human eye to track."
124,Jynx,ICE,PSYCHIC,65,50,35,95,115,95,Red,1.4,40.6,It speaks using a language that sounds human. Research is under way to determine what is being said.
125,Electabuzz,ELECTRIC,None,65,83,57,105,95,85,Yellow,1.1,30.0,It loves to feed on strong electricity. It occasionally appears around large power plants and so on.
126,Magmar,FIRE,None,65,95,57,93,100,85,Red,1.3,44.5,"Born in the spout of a volcano, its body is covered by flames that shimmer like the sun."
127,Pinsir,BUG,None,65,125,100,85,55,70,Brown,1.5,55.0,"It swings its long pincer horns wildly to attack. During cold periods, it hides deep in forests."
128,Tauros,NORMAL,None,75,100,95,110,40,70,Brown,1.4,88.4,"When it is about to tackle, it whips its body repeatedly with its three long tails."
129,Magikarp,WATER,None,20,10,55,80,15,20,Red,0.9,10.0,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,Gyarados,WATER,FLYING,95,125,79,81,60,100,Blue,6.5,235.0,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
131,Lapras,WATER,ICE,130,85,80,60,85,95,Blue,2.5,220.0,Its high intelligence enables it to understand human speech. It likes to ferry people on its back.
132,Ditto,NORMAL,None,48,48,48,48,48,48,Purple,0.3,4.0,It can freely recombine its own cellular structure to transform into other life-forms.
133,Eevee,NORMAL,None,55,55,50,55,45,65,Brown,0.3,6.5,"Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions."
134,Vaporeon,WATER,None,130,65,60,65,110,95,Blue,1.0,29.0,It has evolved to be suitable for an aquatic life. It can invisibly melt away into water.
135,Jolteon,ELECTRIC,None,65,65,60,130,110,95,Yellow,0.8,24.5,"It accumulates negative ions in the atmosphere to blast out 10,000-volt lightning bolts."
136,Flareon,FIRE,None,65,130,60,65,95,110,Red,0.9,25.0,"It has a flame bag inside its body. After inhaling deeply, it blows out flames of nearly 3,000 degrees Fahrenheit."
137,Porygon,NORMAL,None,65,60,70,40,85,75,Pink,0.8,36.5,A Pokémon that consists entirely of programming code. It is capable of moving freely in cyberspace.
138,Omanyte,ROCK,WATER,35,40,100,35,90,55,Blue,0.4,7.5,"Revived from an ancient fossil, this Pokémon uses air stored in its shell to sink and rise in water."
139,Omastar,ROCK,WATER,70,60,125,55,115,70,Blue,1.0,35.0,"Once wrapped around its prey, it never lets go. It eats the prey by tearing at it with sharp fangs."
140,Kabuto,ROCK,WATER,30,80,90,55,55,45,Brown,0.5,11.5,This Pokémon was regenerated from the fossil of an ancient creature. It protects itself with a hard shell.
141,Kabutops,ROCK,WATER,60,115,105,80,65,70,Brown,1.3,40.5,A slim and fast swimmer. It slices its prey with its sharp sickles and drinks the body fluids.
142,Aerodactyl,ROCK,FLYING,80,105,65,130,60,75,Purple,1.8,59.0,This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.
143,Snorlax,NORMAL,None,160,110,65,30,65,110,Black,2.1,460.0,"Its stomach can digest any kind of food, even if it happens to be moldy or rotten."
144,Articuno,ICE,FLYING,90,85,100,85,95,125,Blue,1.7,55.4,A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.
145,Zapdos,ELECTRIC,FLYING,90,90,85,100,125,90,Yellow,1.6,52.6,A legendary Pokémon that is said to live in thunderclouds. It freely controls lightning bolts.
146,Moltres,FIRE,FLYING,90,100,90,90,125,85,Yellow,2.0,60.0,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.
147,Dratini,DRAGON,None,41,64,45,50,50,50,Blue,1.8,3.3,This Pokémon is full of life energy. It continually sheds its skin and grows steadily larger.
148,Dragonair,DRAGON,None,61,84,65,70,70,70,Blue,4.0,16.5,A mystical Pokémon that exudes a gentle aura. It is said to have the ability to change the weather.
149,Dragonite,DRAGON,FLYING,91,134,95,80,100,100,Brown,2.2,210.0,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.
150,Mewtwo,PSYCHIC,None,106,110,90,130,154,90,Purple,2.0,122.0,A Pokémon created by recombining Mew's genes. It's said to have the most savage heart among Pokémon.
151,Mew,PSYCHIC,None,100,100,100,100,100,100,Pink,0.4,4.0,"Its DNA is said to contain the genetic codes of all Pokémon, so it can use all kinds of techniques."
152,Chikorita,GRASS,None,45,49,65,45,49,65,Green,0.9,6.4,It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.
153,Bayleef,GRASS,None,60,62,80,60,63,80,Green,1.2,15.8,The buds that ring its neck give off a spicy aroma that perks people up.
154,Meganium,GRASS,None,80,82,100,80,83,100,Green,1.8,100.5,Meganium's breath has the power to revive dead grass and plants. It can make them healthy again.
155,Cyndaquil,FIRE,None,39,52,43,65,60,50,Yellow,0.5,7.9,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
156,Quilava,FIRE,None,58,64,58,80,80,65,Yellow,0.9,19.0,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
157,Typhlosion,FIRE,None,78,84,78,100,109,85,Yellow,1.7,79.5,"It has a secret, devastating move. It rubs its blazing fur together to cause huge explosions."
158,Totodile,WATER,None,50,65,64,43,44,48,Blue,0.6,9.5,"Its powerful, well-developed jaws are capable of crushing anything. Even its Trainer must be careful."
159,Croconaw,WATER,None,65,80,80,58,59,63,Blue,1.1,25.0,"Once it bites down, it won't let go until it loses its fangs. New fangs quickly grow into place."
160,Feraligatr,WATER,None,85,105,100,78,79,83,Blue,2.3,88.8,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
161,Sentret,NORMAL,None,35,46,34,20,35,45,Brown,0.8,6.0,"It stands on its tail so it can see a long way. If it spots an enemy, it cries loudly to warn its kind."
162,Furret,NORMAL,None,85,76,64,90,45,55,Brown,1.8,32.5,It makes a nest to suit its long and skinny body. The nest is impossible for other Pokémon to enter.
163,Hoothoot,NORMAL,FLYING,60,30,30,50,36,56,Brown,0.7,21.2,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,Noctowl,NORMAL,FLYING,100,50,50,70,86,96,Brown,1.6,40.8,"When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power."
165,Ledyba,BUG,FLYING,40,20,30,55,40,80,Red,1.0,10.8,It is timid and clusters together with others. The fluid secreted by its feet indicates its location.
166,Ledian,BUG,FLYING,55,35,50,85,55,110,Red,1.4,35.6,The spot patterns on its back grow larger or smaller depending on the number of stars in the night sky.
167,Spinarak,BUG,POISON,40,60,40,30,40,40,Green,0.5,8.5,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
168,Ariados,BUG,POISON,70,90,70,40,60,70,Red,1.1,33.5,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends."
169,Crobat,POISON,FLYING,85,90,80,130,70,80,Purple,1.8,75.0,Having four wings allows it to fly more quickly and quietly so it can sneak up on prey without its noticing.
170,Chinchou,WATER,ELECTRIC,75,38,38,67,56,56,Blue,0.5,12.0,It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.
171,Lanturn,WATER,ELECTRIC,125,58,58,67,76,76,Blue,1.2,22.5,"It blinds prey with an intense burst of light. With the prey incapacitated, the Pokémon swallows it in a single gulp."
172,Pichu,ELECTRIC,None,20,40,15,60,35,35,Yellow,0.3,2.0,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
173,Cleffa,FAIRY,None,50,25,28,15,45,55,Pink,0.3,3.0,Many appear when the night skies are filled with shooting stars. They disappear with sunrise.
174,Igglybuff,NORMAL,FAIRY,90,30,15,15,40,20,Pink,0.3,1.0,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
175,Togepi,FAIRY,None,35,20,65,20,40,65,White,0.3,1.5,A proverb claims that happiness will come to anyone who can make a sleeping Togepi stand up.
176,Togetic,FAIRY,FLYING,55,40,85,40,80,105,White,0.6,3.2,"They say that it will appear before kindhearted, caring people and shower them with happiness."
177,Natu,PSYCHIC,FLYING,40,50,45,70,70,45,Green,0.2,2.0,"It usually forages for food on the ground but may, on rare occasions, hop onto branches to peck at shoots."
178,Xatu,PSYCHIC,FLYING,65,75,70,95,95,70,Green,1.5,15.0,They say that it stays still and quiet because it is seeing both the past and future at the same time.
179,Mareep,ELECTRIC,None,55,40,40,35,65,45,White,0.6,7.8,"It stores lots of air in its soft fur, allowing it to stay cool in summer and warm in winter."
180,Flaaffy,ELECTRIC,None,70,55,55,45,80,60,Pink,0.8,13.3,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact."
181,Ampharos,ELECTRIC,None,90,75,85,55,115,90,Yellow,1.4,61.5,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
182,Bellossom,GRASS,None,75,80,95,50,90,100,Green,0.4,5.8,"When the heavy rainfall season ends, it is drawn out by warm sunlight to dance in the open."
183,Marill,WATER,FAIRY,70,20,50,40,20,50,Blue,0.4,8.5,"The tip of its tail is filled with oil that is lighter than water, so it acts as a float."
184,Azumarill,WATER,FAIRY,100,50,80,50,60,80,Blue,0.8,28.5,The bubble-like pattern on its stomach helps it camouflage itself when it's in the water.
185,Sudowoodo,ROCK,None,70,100,115,30,30,65,Brown,1.2,38.0,"It disguises itself as a tree to avoid attack. It hates water, so it will disappear if it starts raining."
